Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
151,5.0,3.6,1.4,,Iris-setosa
152,6.4,,4.5,1.5,Iris-versicolor
153,7.6,3.0,error,2.1,Iris-virginica
154,5.5,2.8,4.0,1.3,Iris-vericolour
155,6.0,2.2,4.0,1.0,Iris-VERSICOLOR
156,6.7,3.1,4.4,1.4,Iris-versicolor
157,5.6,3.0,4.5,1.5,Iris-SETOSA
158,5.8,2.7,4.1,1.0,Iris-versicolor
159,6.2,,4.5,1.5,Iris-virginica
160,5.6,2.5,3.9,1.1,Iris-virginica  
161,5.9,3.2,4.8,1.8,Iris-virginica
162,6.1,2.8,4.0,1.3,Iris-virginica
163,6.3,2.5,4.9,1.5,Iris-virginica
164,6.1,2.8,4.7,1.2,Iris-virginica
165,6.4,2.9,4.3,1.3,Iris-versicolor
166,6.6,3.0,4.4,1.4,Iris-versicolor
167,6.8,2.8,4.8,1.4,Iris-virginica
168,6.7,3.0,5.0,1.7,Iris-versicolor
169,6.0,2.9,4.5,1.5,Iris-vers
170,5.4,3.9,1.3,0.4, Iris-setosa
